question_id	question_url	question_title	question_body	time_stamp	username	votes	favorites	tags
15450	https://health.stackexchange.com/questions/15450/eye-chart-lighting-for-consistency	Eye Chart Lighting for Consistency?	If the goal is consistent test results and controlling for distance is a given, then would a backlight in a dark/darkened room guarantee the most consistent results? Is there any other way to control for consistent light conditions when moving eye-test equipment from room to room? Would a screen produce consistent results as well, as long as letter size was controlled? The goal, obviously, is measuring visual acuity accurately.-	2018-02-27 15:34:48Z	VSO	0	0	eye, eye-exam
15448	https://health.stackexchange.com/questions/15448/best-way-to-loss-weight-for-65-years-old	Best way to loss weight for 65 years old? [on hold]	Could you guide me on how to reduce body weight for my father. My father is 61 years old with 5.7 feet height and 93kgs weight. He also eats less food and not doing any work now. He stays at home without any physical excercise. They complain that the weight is not decreasing even with daily walking. Now he is also started getting hernia in his stomach, doctors suggested him to reduce weight but he is not able to. I am not sure what is causing him to gain weight even with less eating. Could you suggest what is the best way for my father to decrease weight, do you suggest him to go for any surgery then what is the safest surgery that he can go? THanks for reading.-	2018-02-27 07:30:01Z	user2225190	1	0	weight-loss, body-fat
15447	https://health.stackexchange.com/questions/15447/how-bad-my-liver-condition	How Bad My liver Condition? [on hold]	I have suffering from Fatty liver,  I have below my medical report of Liver Functionality Test. How bad it is? What are the precaution in need to take and diet i have to follow? I take alcohol twice or thrice a week. Now i stop it. Also is taking regular butter milk help? I am 5.11 feet with weight 92 kg how much weight i need to reduce.-	2018-02-27 05:29:36Z	iphonemaclover	0	0	diet, liver, fatty-acids, fatty-liver-disease
15446	https://health.stackexchange.com/questions/15446/is-it-possible-to-sleep-while-aware-and-cognizant	Is it possible to “sleep” while aware and cognizant?	I have a scenario, but before I begin, I would like to clarify that this is not Sleep Paralysis, nor Lucid Dreaming, nor what I understand a Trance to be. Let's say that someone decided they needed to take a nap, because they were exhausted and sleep-deprived. However, instead of sleeping normally, they sort-of transitioned into a strange state of consciousness which I will try to describe below.-	2018-02-27 16:37:42Z	Chris	0	0	sleep, neurology
15444	https://health.stackexchange.com/questions/15444/supplementing-iodine-separately-from-antioxidants-and-separately-from-what-els	Supplementing Iodine separately from antioxidants? (and separately from what else?)	What should NOT be taken with Iodine? I've heard that it's a strong oxidant, so taking it with Vitamin C (and I assume other antioxidants) is a bad idea.-	2018-02-27 00:55:59Z	Carey Gregory	1	0	food-supplements, supplement, antioxidant, iodine
15443	https://health.stackexchange.com/questions/15443/how-is-the-recovery-after-rubber-band-ligation-for-hemorrhoids	How is the recovery after rubber band ligation for hemorrhoids? [on hold]	I am considering rubber band ligation for internal hemorrhoids. I have both internal and external hemorrhoids. I have had infrared coagulation treatment before which was effective, but I have a larger hemoroid on the left side that needs to be treated. I am scared mostly of the day after when I'll need to take a poop. Any feedback from those who have had the procedure before.-	2018-02-26 23:08:16Z	Bogdan	0	0	hemorrhoids
15441	https://health.stackexchange.com/questions/15441/kidney-stone-formation-and-age-as-a-factor	Kidney Stone Formation and Age as a factor	I had my first stone, about 5 years ago, when I was 75.  Never had one before nor any kidney-related problems either, and kidney stones do not run in the family.   My question is: Is age a factor in kidney stones?  -	2018-02-27 01:55:32Z	Carey Gregory	0	0	kidney, kidney-stones
15440	https://health.stackexchange.com/questions/15440/does-this-strategy-for-healing-from-the-flu-faster-have-potential	Does this strategy for healing from the flu faster have potential?	I get the flu several times a year and am trying to identify a strategy where I can recover from it quicker, with less damage to my time at work. I've identified three main phases of the disease. Here are my observations and questions regarding this issue.  O1. Phase 1. Starts bad for a few days, but then goes into just unpleasant for about a week. So long as I take care of myself, I can work during the unpleasant period.  O2. Phase 2. Sick, cannot work, feel very bad, need to stay home whenever possible and focus on taking care of myself.  O3. Phase 3. Coughing phase, coughs can be suppressed by taking care of myself. Feels like phase 1, except for the coughing.  O4. Taking care of myself is about things like clothing warm, drinking hot liquids, etc.  O5. Coughs happen in all phases, only in the last one they keep happening regularly no matter how much effort is made to avoid them.  O6. Feeling better means the body has now overcome the disease and is now in the process of removing the disease from the body  O7. It seems the   (search for 'Relieving a Cough')  O8. Coughing can be suppressed. One of the reasons to do this is that it can cause damage to the throat, potentially feeding the disease. Apart from being really unpleasant.  O9. Coughs be triggered very easily. By opening the mouth, pushing out some air and letting go. Wait 5 seconds and the body will produce a normal coughing fit.  O10. Coughs produce nasal material, how to deal with that and other aspects of dealing with matters of the flu are out of scope for this question. Q1. The point of this is to discover a general pattern, not just describe my personal experience. Otherwise any advice I get here won't be of any use. So if I made mistakes here, please correct me.  Q2. Does this mean there is a certain amount of disease that needs to be gotten rid of. Requiring a certain amount of coughing, regardless of suppression.  Q3. Can a higher coughing rate result in a quicker removal of all the diseased material?  Q4. If done properly, can maintaining a higher/tolerable level of coughing result in a quicker healing of the disease?-	2018-02-26 14:27:21Z	MrFox	-1	0	influenza, cough, cure
15439	https://health.stackexchange.com/questions/15439/tears-begin-to-go-when-touching-emotional-topic	Tears begin to go when touching emotional topic [on hold]	For quite a while now I have a problem that irritates me a lot: upon certain actions I begin to yawn which leads to tears to appear, which in its turn makes me unable to other people noticing it, asking me about why am I crying. The things that make me trap into tearing process: This makes it nearly impossible to talk about some topics or calmly listen to some music. How can I possibly prevent such a behavior of me? P.S. While writing this question the problem mentioned happened at least 5 times.-	2018-02-26 13:15:08Z	lolbas	0	0	psychology-psychology, behavior
15437	https://health.stackexchange.com/questions/15437/tea-or-coffee-which-one-is-healthier	Tea Or Coffee – Which One Is Healthier? [on hold]	Which drink is actually more healthy?-	2018-02-26 12:42:35Z	Menaquin Gold	0	0	health-informatics, tea, coffee
15432	https://health.stackexchange.com/questions/15432/is-orange-juice-still-healthy-for-me-if-its-been-opened-and-hasnt-been-refrig	Is orange juice still healthy for me, if it's been opened and hasn't been refrigerated for an entire day?	I'm trying to take in more Vitamin C lately, and I buy a quart of cold orange juice in the morning to start my day.  It's usually sealed up - I'm guessing to keep it protected from oxygen.  But once I remove the seal and start drinking from it, I have about a half bottle left of the juice, which I then carry around with me during the day -- and I don't keep it in a refrigerator.   Is the orange juice still nutritious, after being opened and sitting around for an entire day without being kept chilled?-	2018-02-26 01:42:28Z	user13049	-1	0	diet, vitamin-c
15431	https://health.stackexchange.com/questions/15431/itchy-and-prickly-skin-after-exposure-to-cool-water	Itchy and prickly skin after exposure to cool water [on hold]	every time I take a bath with water thats not warm or go for a swim (i live at the equator) my skin just gets annoyingly prickly and starts itching. it feels like someone is pricking me with sewing needles. I have tried moisturising to no avail. It just takes its time - about 30 min to dissipate. Someone had explained it saying its a rare antibody in the blood that gets activated in response to the low temperature. I want to understand how i can reduce or control the sensation because I need to go swimming everyday due to another health condition. Thanks!   -	2018-02-25 23:03:51Z	Vega_Bond	0	0	itching, water-temperature, antibodies
15429	https://health.stackexchange.com/questions/15429/can-acute-liver-failure-be-caused-by-an-alcohol-binge	Can acute liver failure be caused by an alcohol binge?	This might seem like a silly question but I've been searching on google and pubmed but not really gotten a clear answer to this. I understand the long term effects of alcohol in causing alcoholic steatohepatitis. However while looking for the causes of acute liver failure, I only came across paracetamol poisoning and viral hepatitis as potential causes. Are the harmful effects of alcohol on the liver limited to chronic abuse? Or can a person who has never indulged, potentially risk liver failure after just a single episode of excessive consumption?-	2018-02-25 21:56:01Z	Sahib Tuteja	1	0	liver, hepatitis
15428	https://health.stackexchange.com/questions/15428/methods-of-minimising-stroke	Methods of minimising stroke [on hold]	What can one do to minimise the risk of suffering from a stroke?-	2018-02-26 09:58:41Z	adrianmann	-3	0	stroke
15427	https://health.stackexchange.com/questions/15427/long-term-health-consequences-of-consistently-repeated-food-comas	Long-term health consequences of consistently repeated food comas?	A   is usually when a person eats too much and they get very tired due to a high influx of insulin in their blood that tries to balance out the massive rush of glucose from food. , but I was more interested in long-term effects like development of chronic diseases or effect on the body.-	2018-02-25 11:37:35Z	Chris	2	0	nutrition, diet
15423	https://health.stackexchange.com/questions/15423/how-to-improve-omega-3-fatty-acid-absorption	How to improve omega-3 fatty acid absorption?	I'm going to add an omega-3 supplement in my diet. I want know how can I improve its absorption, and also understand why. That's: e.g.: I've read   that you can maximize the absorption if you eat paired with milk or not-fermented cheese, like mozzarella.-	2018-02-24 17:58:27Z	mattia.b89	0	0	nutrition, micronutrients, food-supplements, supplement, omega-3
15422	https://health.stackexchange.com/questions/15422/is-it-better-to-tan-for-10-minutes-without-sun-protection-or-the-equivalent-x-am	Is it better to tan for 10 minutes without sun protection or the equivalent x amount of minutes with sunscreen?	For tanning efficiency purposes (i.e. getting as tanned as possible with as little skin damage as possible) is it better to tan for 10 minutes without sunscreen or the equivalent x amount of minutes while wearing sunscreen? Or is there no difference?-	2018-02-24 05:49:52Z	Sebastiaan van den Broek	1	0	sun-exposure, sun-burn, sunscreen-sunblock
15421	https://health.stackexchange.com/questions/15421/can-i-have-an-heart-attack	can i have An heart attack? [closed]	Before i go any further, let Me tell you that my english is not very good since it's not my first Language, moving on I'm 14 years old, i'm obese, i'm 6"1 and 275lbs, i've cut off all Bad sugar drinks. Couple weeks ago i went to the shower, after i went out of the shower i started to have pain in My lower stomach, i knew it had something to do with pooping, anyways, the pain got worse, i went in the bathroom and tried to poop, the pain got so Bad to the point it was all over my body, i tried to puke doing the 2 fingers in throat thing, didnt do anything But put pressure in My head, i was starting to pass out, (first Time having this), So i called out my mom and she helped Me to lay down as she was calling the ambulance, the medics got here But by the Time they were here, the pain, and the passing out already went away, i was in a normal state i'd say. i'm not sure what the. Medics did to Me, they checked my pulse from my Arm i think, and took little bit of blood from my finger, they didn't say that what was wrong, mainly because nothing was wrong i guess. After all that, i've had panic attacks, alot of stress, and anixiety, my first panic attack i think it was when i was using the computer in the middle of night, (usually what i do in the weekends), it started out if i remember, as me feeling like my heart would Skip beats, and My chest felt Bad, didn't hurt, But felt bad, like i couldn't breathe, this only made Me only worried and of course i did the worse thing, look up answers from the INTERNET. My state only got worse because most of the answers were linked to an heart attack, which at the Time i believed in. I started to shake alot and still after an hour, i felt discomfort in My chest, i was about to wake up my parents But it's not what i did, however, i slept downstairs in the couch. Few weeks later after nothing really happend, i had an panic attack, out of nowhere, even though i know its an panic attack, i have no control over it whatsoever. And after that, every Day, i had anixiety, to this point im typing about to have an panic attack because i am worried. I don't know if i should Ask my mother to visit the doctor to check if there was something wrong with my heart, everyday i try to feel my pulse, usually when i inhale my beat gets faster, when i exhale it feels like it skips a beat which always gets Me worried, and further to the panic attack, there are couple things which help Me to relax, the best are, masturbation, and taking a shit. (Excuse my Language, But it's the thruth.) After the ambulance stuff, i feel like everything in My way of thinking has changed, i feel like i've gotten mentally weaker, although i'm not depressed for sure.  However i've lost my motivation to things i used to do, like gaming.  It's Been many weeks but im still having bad anixiety-	2018-02-23 16:37:41Z	Niko	0	0	health-education
15419	https://health.stackexchange.com/questions/15419/how-to-recover-from-burn-out	How to recover from burn out? [on hold]	I work as a software developer. The past year was quite stressful for me and I am burn out now. Could you suggest some ways to recover from it quickly? Thanks-	2018-02-23 14:04:39Z	Minisha	0	0	psychology-psychology, psychiatrist-psychiatry, psychosomatic-illness
15418	https://health.stackexchange.com/questions/15418/12-body-fat-with-about-2-5k-calories-daily	12 % Body fat with about 2,5k Calories daily? [closed]	I practice body weight and weight lifting, and I've lost a lot of fat since I begun, currently around 15%. I aim for the 12% and not lower, just for esthetic purpouses, because I like to see the abs a bit more but I don't like skinny and too shredded at the same time. I'm 176 cm tall and I eat around 2.5k Calories a day, including 100 - 150 grams of protein daily, weighting about 65 - 66 Kg. I'm looking to keep myself on this weight since I like the way I look and the fact that I can eat without starving. I've noticed that my metabolism rate has increased up to about 1600 bmr, specially since I started training my legs a bit more (got to 100 Kg deadlift in a month of training). Any suggest on how I can improve my strategy even better?-	2018-02-23 13:51:27Z	Giorgio Vitanza	0	0	body-fat, body-weight, metabolism, weightlifting, macronutrient
15417	https://health.stackexchange.com/questions/15417/how-should-i-treat-a-chemical-rash-that-behaves-like-sunburn	How should I treat a chemical rash that behaves like sunburn? [closed]	I suspect it could be a methyl salicylate reaction, what is the best way to treat it - like sunburn? I used a mixture of 2/3 [Rubbing Alcohol with Wintergreen] and 1/3 [Glycerine] on Tuesday night (68 hours ago) as a massage aid on my right shoulder, neck and chest, also rubbing down my arm to my elbow.  About 3 hours later I woke with a tight feeling in these areas, and could feel the skin was rough. I washed the skin well and went back to bed, no pain, and no real discomfort preventing sleep. However the skin got steadily more dry and flaky and has turned a burgundy red especially round the neck and in the creases of the inner elbow. This morning it had started peeling like sunburn, and it continues to feel dry and wrinkly.  The colour is not like normal sunburn, more red-wine coloured rather than brown/red. More detail in case this is useful --> I have been putting an aqueous hand-cream moisturizer on it, as well as an oil balm for burns and essential balm too.  I saw another post on St/Ex, and think that raw coconut oil might be an idea, except it will come off on all my shirts.   My plan was to keep it clean and moist and just wait for all the wrinkly skin to fall off and assume that the new layers will soon be fine, as it is not painful and no sign of other side effects.  But any better ideas? That mixture is not something new to me, I have used that for massaging muscles for about 12-18 months, with absolutely no effect like this before.  But a little reading on Wikipedia has thrown some light on it.  The bottle I used had been mixed about 6 months ago, and it felt much more viscous than usual - it seems that the spirits (iso-propyl alcohol) had all evaporated.  The wintergreen did not smell any stronger than usual, but I was surprised to read that its main ingredient is methyl salicylate (powerful stuff that, I have used it on foot corns) - and although I have not had any reaction to this mix I made before, it is looking like the increased wintergreen concentration caused it. *"Salicylate sensitivity is a common adverse reaction to the methyl salicylate in oil of wintergreen; it can produce allergy-like symptoms or asthma" ... "Wintergreen oil is used topically (diluted) or aromatherapeutically as a folk remedy for muscle and joint discomfort" ... "The liquid salicylate dissolves into tissue and also into capillaries, so overuse is as risky as overuse of aspirin"*-	2018-02-23 13:46:39Z	Alexanderson	0	0	burns, rash, medical
15416	https://health.stackexchange.com/questions/15416/how-to-plan-a-high-protein-vegetarian-diet-without-whey-protein	How to plan a high protein vegetarian diet without whey protein?	I have two questions. 1) How can I make a high protein vegetarian diet without whey protein? Because of not using Whey protein I need to use lots of grains, nuts, and legumes. But the problem is that adding lots of them crosses the upper limit of Folate(1000 mcg) and Manganese (11 mcg). You can look at the attached diet. As you can see that the Folate and Manganese are almost touching upper limits and protein is merely 116 gms. I would like to increase protein to 140 gms without crossing those upper limits. 2) How do pro athletes control these upper limits? For e.g. Phelps used to eat 12000 calories during summer Olympics. I don't think it is possible to respect upper limits of saturated fats, folate or manganese.-	2018-02-23 11:53:17Z	Vimal Raj Sharma	1	0	diet, proteins, whey-protein
15414	https://health.stackexchange.com/questions/15414/what-can-help-with-difficulty-in-falling-asleep	What can help with difficulty in falling asleep? [closed]	Despite an active lifestyle, eating well, and busy days, it is still possible to have difficulty in falling sleep. Caffeine can make the problem even worse! What can contribute to problems falling asleep, and is there any general advice for what can help?-	2018-02-25 11:50:29Z	bertieb	0	0	sleep, mental-health, sleep-cycles, sleep-deprivation
15413	https://health.stackexchange.com/questions/15413/what-would-a-surgeon-write-about-a-non-complicated-scar-in-a-post-surgery-inspec	What would a surgeon write about a non-complicated scar in a post-surgery inspection report?	I have a short post-surgery inspection report in Russian: Verbatim translation: This   denotes that the scar is not inflamed and is healing in a "calm", normal fashion. I wonder what would an English-speaking doctor write there. "Scar uncomplicated"?  The examination was performed 2 months post-surgery.-	2018-02-23 04:47:46Z	CopperKettle	2	0	terminology
15412	https://health.stackexchange.com/questions/15412/how-long-does-it-take-to-develop-a-magnesium-defiency	How long does it take to develop a magnesium defiency? [closed]	PPI medication can be prescribed for possible stomach ulcer/H. pylori problems. One potential side effect is hypomagnesemia (magnesium deficiency) induced by blocking the bodies ability to absorb magnesium.  How long would it take to become magnesium deficient when taking a PPI? Could it be avoided by taking antacids and eating plenty of starchy foods instead?-	2018-02-25 11:49:55Z	bertieb	0	0	medications, magnesium
15409	https://health.stackexchange.com/questions/15409/olive-oil-healthy-as-a-substitute-or-in-its-own-right	Olive oil - healthy as a substitute, or in its own right?	There are many articles about extra virgin olive oil being healthy - for example  . This implies, at least, that replacing other fats in the diet (such as butter or other vegetable oils) with olive oil is beneficial. But is olive oil also beneficial to health when consumed in larger amounts? Assuming it is not contributing too many calories and leading to an unhealthy weight. I really love the taste of olive oil, and enjoy snacks like bread with olive oil, or just using it as a dressing on lots of things. Is this healthy (because olive oil is healthy) or unhealthy (because, even though it is a "good" oil, having a larger fat intake is still bad)?-	2018-02-22 21:24:17Z	Bennet	3	0	nutrition, diet
15408	https://health.stackexchange.com/questions/15408/an-unusual-ocd-symptom	An Unusual OCD symptom [closed]	I have been suffering from OCD for many years. In the past, I used to wash my hands repeatedly with soaps, detergents, etc as I used to fear that my hands are "contaminated" with germs. I used to handle my genitals using a cloth, as I used to believe that they are "dirty". I no longer behave that way but now I have developed new symptom. I constantly think that I have said something which I haven't and I fear that I have revealed my own secrets by saying things which I am not supposed to say. OCD is making me think that I have said something that I should not say and keep secret. I have been taking antidepressants like Escitalopram and Dosulepin Hydrochloride for almost one year, but I haven't seen much improvement. This is very annoying and frustrating. I obviously do not want to say something that I am not supposed to say. Please give some advice. I really need help.-	2018-02-22 12:34:00Z	Ren	0	0	ocd
15406	https://health.stackexchange.com/questions/15406/definition-of-prospective-birth-cohort-study	Definition of “prospective birth cohort study”	From a  : What is a "prospective birth cohort study"? Is it a study planned in advance, before the data collection process begins? Is it   a study that begins before the persons to be studied have been born?  Or can it be a study conducted post-factum, with some information taken from records that existed prior to the beginning of the study?  I translated this term into Russian word-for-word, but was told by a fellow translator that I should explicitly point out in my Russian translation, as an explanation for the reader, that these studies are "begun  ". I started googling for clear authoritative definitions and have found none thus far.-	2018-02-22 10:03:35Z	CopperKettle	1	0	terminology, clinical-study
15404	https://health.stackexchange.com/questions/15404/how-much-food-when-taking-vitamin-supplements	How much food when taking vitamin supplements?	If you want to take a few vitamin supplements but don't have time for a meal, would 50 calories or so of food be good enough? What is the minimum amount of food intake that would be necessary for good absorption of the vitamins? (Why can't I take vitamins with meals? I have an unpredictable work schedule and do not carry my bottles of vitamin with me, and it's just more convenient for me this way.)-	2018-02-23 17:46:48Z	larry909	1	0	absorption-absorb, multi-vitamin
15403	https://health.stackexchange.com/questions/15403/low-hdl-and-high-ldl-even-with-regular-workout	Low HDL and high LDL even with regular workout [closed]	i work out almost daily and spend 1 hour in gym with 10 minutes of running (14km/h or 8 mile/h) ~2km distance followed by weight training exercises. My HDL is 30 and LDL is 165.I dont eat much junk food (once in a week i eat fries ). My office work is so stressful could that be the reason for very low HDL.-	2018-02-21 17:25:38Z	green	-2	0	cholesterol, ldl, hdl
15401	https://health.stackexchange.com/questions/15401/should-i-always-eat-when-im-hungry	Should I always eat when I'm hungry? [closed]	Example: Today I ate a whole medium cheese pizza (half of it had mushrooms and hot sauce), two small cheese quesadillas, three bananas, drank 3 red bulls, and 2 cups of coffee (with 5 creamers total) (yeah I know not the healthiest day.) I walked for maybe an hour total today. I'm female, 130 lbs, 5' 10", with a resting heart rate of 70 bpm (if that even matters). Despite everything I ate today I still feel starved. Given the sheer caloric intake of today, I feel like I shouldn't be eating anything else, but its hard to even focus anything besides my hunger. Should I even consider eating anything else? In general, should you always eat when you're hungry?-	2018-02-21 11:13:40Z	Taegen Meyer	0	0	nutrition
15399	https://health.stackexchange.com/questions/15399/why-is-the-cost-of-health-care-so-high	Why is the cost of health care so high? [closed]	Can someone explain in simple but very concrete terms why medical services cost so much in the US? By cost, I am referring here to the medical fees being charged prior to any adjustments or reimbursements by the insurance. I understand it takes many years of hard work to become a doctor and they deserve to be remunerated for that hard work. I really do. I do get that medical students come out of school with massive debts as well. I do understand there are significant costs in operating medical facilities, purchasing high-end medical equipment, running a medical staff, and being insured against law suits perhaps. With a stretch of my imagination, I may see how all this adds up so that a visit to the doctor is charged for $100-$200 even though the actual interaction with the doctor + nurse is usually on the order of 10 minutes per patient.  10 minutes for a few hundred $ = one hour for a couple of thousands $ to cover the salary of the medical staff, the rent, and amortizing the cost of medical equipment. That seems very high to my intuition but I can at least make some sense of it. But then on top of the visit cost, there are often "extra" costs that seem completely disproportionate with what is being done. From random personal experience:  - a hospital charging ~$20 for one pill of ibuprofen  - a dermatologist charging an extra ~$150 for ~10 second procedures such as spraying nitrogen on a foot wart  - a few hundred bucks for spending less than a minute taking a skin sample for a biopsy (charge for the biopsy itself separate)  - a visit to the ER for a very minor injury resulting in one stitch point on a finger and a medical bill >$1,500   What is the reasoning behind these charges? Could someone perhaps break down in simple concrete numbers the operating expenses of, say, a medical office, and a hospital and help me understand how this explains why an ibuprofen pill costs $20 in a hospital or why spraying nitrogen for 5 seconds costs ~$150 extra?-	2018-02-21 07:53:05Z	Lolo	3	0	medical-billing
15398	https://health.stackexchange.com/questions/15398/in-comparing-the-healthiness-of-shredded-wheat-and-bran-flakes-what-are-some-pr	In comparing the healthiness of shredded wheat and bran flakes, what are some pro/con considerations for each? [closed]	 says that bran flakes are nutritionally comparable in health to shredded wheat.  However, bran flakes contain sugar, while shredded wheat does not.  I don't work in the area of life sciences, and googling for health information yields all manner of rationale of why each of two options is good.  Can those with an understanding of diet and physiology provide some pro/con considerations for each option?-	2018-02-23 03:48:35Z	user2153235	1	0	nutrition, diet
15395	https://health.stackexchange.com/questions/15395/are-cigars-less-harmful-than-cigarettes	Are cigars less harmful than cigarettes?	Both cigarettes and cigars are unhealthy, that's an indisputable fact.   But a lot of people seem to think that cigars are less unhealthy than cigarettes.  There are pro-smoking websites that say cigars are better because you smoke fewer of them, they're all natural, and it's less harmful because you don't inhale.  But some people do inhale.  It seems to be a difficult comparison. Are cigars less harmful than cigarettes?-	2018-02-21 04:00:55Z	DoctorWhom	1	0	smoking
15393	https://health.stackexchange.com/questions/15393/why-does-an-orthotic-work-instead-of-an-exercise-for-hammertoe	Why does an orthotic work instead of an exercise for hammertoe?	I've heard from fellow runners that wearing shoes too tight contributes to developing hammertoe over time. This link mentions that you may need surgery to correct a hammer toe, but that an orthotic could work too. Shouldn't there be toe-exercises or something instead, if it's a muscle issue?-	2018-02-20 18:00:14Z	Dave Liu	2	0	muscle, toe, orthotics, footwear
15391	https://health.stackexchange.com/questions/15391/amount-of-sunlight-and-its-effect-on-the-eye-sight	Is Myopia Reversible/Curable?	Myopia, meaning short sightedness is said to develop when eyes are exposed to excessive strain. But what I've failed to understand properly is whether myopia can be reversed or cured in any manner? When I was diagnosed with myopia in my childhood, my doctor told me that if I were to stare at far away objects for long periods, it would help cure my eyes. I'm not sure if what he said was to keep me off my computer, or whether it had some scientific background. Thus my question, is myopia reversible, naturally or through medication?-	2017-08-27 18:24:30Z	S. Husaini	7	3	medications, eye, cure, myopia-nearsightedness
