question_id	answer_id	comment	time_stamp	username
15452	15466	But if this happens for example in the shower accidently with a strong water jet for a very short time, how loud would it be for the ear (decibels) approximately and could the acoustic reflex protect the ear enough? I don't mean physical damage to the ear drum (which could possible appear because of the pressure), I'm just referring to inner damage (stereocilia damage).	2018-02-28 10:37:34Z	
15452	15466	That's an interesting but different question prompting calculations of underwater acoustic physics.  I speculate that the angle of the canal would have less of a dampening effect on the force of sound than on the flow of water in a jet..	2018-02-28 12:48:18Z	DoctorWhom
15452	15466	Ok thank you. But how can I calculate a sound pressure, when the sound is generated directly on the tympanic membrane? I know a sound pressure formula where you can calculate the sound pressure for a certain distance. But here, the distance should be zero. I don't know how to calculate that. Do you have any suggestions or estimations about that?	2018-02-28 14:29:33Z	
15432	15435	Sorry but you'll need to provide a link for non obvious answers.	2018-02-26 17:56:50Z	Graham Chiu
15419	15420	Welcome to Health! Can you be more specific, for example which questionnaire you had in mind, and how to address the burnout itself? Thanks!	2018-02-24 15:40:54Z	bertieb
15395	15397	Thank, this gives me something to work with. He assumes the odd cigar smoking is OK because he seems to think they're less harmful than cigarettes. I don't want him to smoke anything but it sounds like he has it backwards. Obviously I don't want him to smoke anything but if he is going to do it, I want him to be aware that cigars are NOT a green light and if anything more worse than cigarettes! I tried to tell him this. Also, he inhales his cigars.	2018-02-21 06:29:17Z	
15395	15397	An "odd cigar" is different than daily - a weekly cigar would be less harmful than a pack of cigarettes a day, it's a dose-dependent (quantity) harm.  But puff for puff, cigars pack a worse punch.  Basically he shouldn't feel okay with it either way.  If you're looking for actual harm reduction, vaping seems to not be as harmful as either of them. I'm of the school of thought that feels harm reduction is better than nothing.	2018-02-21 09:41:31Z	DoctorWhom
15395	15397	Doesn't inhalation depth also factor into it? Generally (but not in the OP's case apparantly), you don't inhale cigars as deeply as cigarettes.	2018-02-22 00:15:32Z	AytAyt
15395	15397	It touches on that in the articles, where in cigars people hold the smoke in their mouths mostly, but there are still lots of known harms with that.	2018-02-22 01:18:30Z	DoctorWhom
15389	15392	Professional credentials aren't required here, but supporting references are.  Please add links to sources that support your main factual claims.	2018-02-20 18:01:37Z	Carey Gregory
15384	15385	This is ridiculous. Two good answers here, ahem, sorry, almost non-explaining stubs at CV. +1.	2018-02-20 17:42:23Z	LangLangC
15356	15368	Is there a solution for teenagers who regularly sleep in really late resulting in short photoperiods?	2018-02-18 23:25:14Z	Graham Chiu
15356	15368	Solution as in a "normalized" melatonin schedule? Some people take melatonin, but I've heard a person can build tolerance to it. Exercise seems to be the general consensus of experts in the area of sleep. I suppose this is the problem you're talking about: ncbi.nlm.nih.gov/pmc/articles/PMC2820578	2018-02-18 23:56:08Z	Dave Liu
15356	15368	Yes, a way to fix that!	2018-02-19 00:39:26Z	Graham Chiu
15346	15347	Nice. Two prelim criticisms: When/for what is CBT not the first or even a good choice (more emphasis) / Side-effects just for CBT. For PA e.g. those are/might be numerous and well documented!	2018-02-16 22:26:04Z	LangLangC
15346	15347	Good point. I'll add that CBT's not for replacing serious chemical imbalances, which put a person at imeediate risk. That was careless of me not to add more about side effects.	2018-02-17 23:23:28Z	
15339	15340	However, removal of tonsil stones is a procedure performed by ENTs. A web search also reveals that home tonsil stone removal is very common and there are even devices sold for that purpose. People also use Waterpiks to flush them out. Seems to be pretty much the same as the tonsil washing OP described.	2018-02-15 18:34:23Z	Carey Gregory
15339	15340	Yes, I was aware of that but the q is about tonsillitis.	2018-02-15 21:02:49Z	Graham Chiu
15339	15340	There is known correlation between tonsilloliths and tonsillitis. Keep in mind that -itis isn't just infection, it's inflammation.  However I do not know i fhte evidence is convincing whether removing stones prevents inflammation/infection.  But anecdotally I have cryptic tonsils myself and own a device ENT recommended for symptomatic stones - though gargling in the shower works just as well IMHO.	2018-02-16 00:34:57Z	DoctorWhom
15339	15340	One last question - would irrigation of tonsillar lacunae be the most appropriate English-language term for this procedure, in case I'd want to translate the Wikipedia article into English?	2018-02-17 10:04:36Z	
15336	15343	Great answer except I think your first paragraph needs a supporting reference.	2018-02-16 02:12:34Z	Carey Gregory
15336	15343	Not my answer. Tell us how you know this.	2018-02-16 04:57:41Z	Carey Gregory
15336	15343	Easiest way to sterilize the gut is to give birth to a baby ... Gut is sterile at birth.	2018-02-16 12:32:58Z	Graham Chiu
15336	15343	@CareyGregory - There is no such study. Surgeons preparing the gut for surgery are the most concerned with the possibility of abdominal infection on opening the intestines in vivo. The studies assess various methods for which is superior and which is dangerous, etc. Not for which is 100% effective.	2018-02-16 16:03:13Z	anongoodnurse
15336	15343	That first paragraph seems so obvious on the face of it that I'm not sure it really needs references. But then I guess it depends on what you mean by "sterilize." If you mean 100% free of foreign microbes, then I don't see the need for references. If you mean, say, 99.90% fewer microbes than before treatment, then maybe references are in order.	2018-02-16 20:01:56Z	BillDOe
15336	15337	That won't sterilize the gut	2018-02-14 21:46:13Z	Graham Chiu
15336	15337	@GrahamChiu Antibiotics have to be administered during this treatment, I've added that in the text.	2018-02-14 22:38:53Z	Count Iblis
15336	15337	A link to support your factual claims regarding how it's done would be expected. C'mon, you know that.	2018-02-15 02:01:53Z	Carey Gregory
15336	15337	You also normally use non absorbable antibiotics when performing gut sterilisation clinicaltrials.gov/ct2/show/NCT03157388	2018-02-15 02:17:49Z	Graham Chiu
15336	15337	@GrahamChiu Thank you for posting that link. That's a very interesting study.	2018-02-16 11:44:19Z	cloudnyn3
15335	15341	Flu can cause myocarditis	2018-02-17 15:43:26Z	Graham Chiu
15335	15341	Most paywalls have been breached, and as pointed out here, subscription journals are doomed.	2018-02-17 18:53:33Z	Count Iblis
15335	15341	@CountIblis That is in way true. But it is even more effective to condemn the publishers to damnatio memoriae and not cite from them, if possible. A middle ground might be reached by using unpaywall. That is also less legally troubled. Jurisdictions differ, some of these services you mentioned might be or will be blocked, get or taken down etc.	2018-02-18 01:29:49Z	LangLangC
15320	15321	@DoctorWhom - good edit, thanks! I had intended the initial heading to be the general (non-personal) form of the question posed by OP; your phrasing makes it read much better though! Cheers	2018-02-12 23:56:50Z	bertieb
15316	15323	You might have a good answer here but you make a lot of assertions of fact with no supporting sources. For example, you state that porn withdrawal is equivalent to dopamine withdrawal. Oh, says who? And your list of symptoms of porn withdrawal -- where did that come from? For all we know you just made it up. Please add citations supporting your  factual claims or you risk having your answer downvoted and/or closed.	2018-02-14 02:10:48Z	Carey Gregory
15316	15323	I agree, this seems feasible but resources are needed	2018-02-14 02:21:13Z	DoctorWhom
15303	15306	Citations......	2018-02-12 05:47:24Z	Carey Gregory
15287	15288	Providing or looking for information on what "can" help when you have no ability to effectively diagnose the problem can be dangerous.  How do you know the problem is CPPS and not any other kind of Prostatitis?  Giving medical advice is frowned upon here for safety reasons	2018-02-10 11:21:21Z	Chris
15287	15288	If you wish to provide a general answer without risk of giving what can be considered medical advice, I would just stick to the side effects risks just as you have, although again this can differ from person to person.  How medication works and what treatment paths may be required should be left to the OPs doctor who has the ability to effectively diagnose the problem and give the correct advice.  Giving something which might help could exacerbate the problem, and in extreme cases with some medical conditions it could lead to death.	2018-02-10 11:35:58Z	Chris
15287	15288	I have removed that section. If you have any further suggestions or feel it could be improved further, please let me know.	2018-02-10 11:42:32Z	bertieb
15280	15285	Most excellent.	2018-02-09 20:08:44Z	LangLangC
15280	15285	I think you need to state that there is no high quality level one data to support the use of radon in rheumatoid arthritis.	2018-02-10 17:43:51Z	Graham Chiu
15280	15285	@GrahamChiu Interesting suggestion; do you reckon that is clearer than "but there is not good or widespread evidence for this" in the tl;dr section at the start? I think they both amount to saying the same thing, but wanted to keep the initial section slightly more layman friendly as that's what they'll see first. I could add that as a concluding sentence perhaps? Happy to hear your thoughts	2018-02-10 18:27:45Z	bertieb
15280	15285	Why have a summary that talks of potential but unproven benefit? It's best to steer patients away from at best placebo treatment. The data available is not going to meet any modern criteria for effectiveness.	2018-02-11 00:30:39Z	Graham Chiu
15280	15285	Welcome back bertieb!  Thank you for the great answer and wealth of research incorporated.  You did a great job of editing it per GrahamChiu's suggestions, which I agree with.  We're thrilled to have more medical professionals/students involved in the site!  I look forward to having you into the voting ranks when your rep hits 1000.	2018-02-11 11:37:59Z	DoctorWhom
15277	15279	Interesting, I didn't know enamel could regenerate. I though once you lost some of it, it'd be lost forever.	2018-02-09 17:17:12Z	
15277	15279	Only very small lesions may be healed. Obvious caries is still considered permanent.	2018-02-09 17:59:39Z	Jan
15277	15279	Every meal and contact with acids demineralises teeth, not only caries. Lesions in this sense would include the invisible day to day occurences.  So that's a constant process. It seems a common misconception that remineralisation might refill cavities, regardless of size. That's also a prob with your excerpt: incidence of caries is reduced, not existing reversed? Can you clarify that?	2018-02-09 19:39:30Z	LangLangC
15277	15279	@LangLangC Sometimes pain in your teeth comes and goes, that is much too subjective of an observation to say cavities can be healed, but it might do so to some height? Or is that nonsense?	2018-02-09 23:12:11Z	
15277	15279	@Bart Misunderstanding? I meant remin is going on, always, in enamel and dentin. Extraordinarily important, but that is also microscopic and below. And also important for sensitive teeth. But people often mistake remin for filling large macro-structural holes (often from caries), which is (currently?) impossible with tools at our disposal.	2018-02-09 23:17:50Z	LangLangC
15270	15278	Since glycogen is stored as intracellular granules, and muscle cell numbers don't increase, what governs the amount stored in the muscle cell?	2018-02-09 10:32:05Z	Graham Chiu
15270	15278	Exercise increases insulin sensitivity (I added another quote in my answer).	2018-02-09 10:56:51Z	Jan
15266	15272	That's my thought as well and the cremasteric contraction is listed on some sites as part of the flight response. Interestingly his response is flight as per comments. Habituation might be why it's no longer happening.	2018-02-08 22:35:10Z	Graham Chiu
15266	15272	Yeah that was my thought as well re: habituation. Interesting stuff	2018-02-09 01:09:30Z	Nate
15249	15254	Omega-3's benefit is more that the typical Westerner has out of wack omega-3 : omega-6 ratios, and consuming more omega-3 reduces systemic inflammation.	2018-02-07 15:46:19Z	WakeDemons3
15249	15254	The importance of low omega-6/omega-3 ratio has been questioned recently: hsph.harvard.edu/nutritionsource/omega-3-fats	2018-02-07 16:19:55Z	Jan
15241	15248	Do you mean oral antibiotics only?  Or are you talking even about  gels like duac and stuff like that?	2018-02-07 18:08:16Z	
15233	15236	This may be correct – or not. Nobody knows because this is lacking references. To improve your answer please edit it and backup your statements with reliable references.	2018-02-06 17:31:55Z	LangLangC
15233	15236	Thank you, what would you consider a low fat, moderate carb for a 175lb male?	2018-02-06 18:59:49Z	
15233	15236	Oh I didn't see your comment on the protein intake. Everyone just says 1g per pound of body weight and I was 180lbs when I started cutting.	2018-02-07 06:44:17Z	
15222	15225	Even in a clean incision I'd be wary about suturing a distal based flap on the  anterior shin.	2018-02-05 22:10:05Z	Graham Chiu
15222	15225	Yup, I mentioned a skin flap in my answer-- anything with necrotic or soon-to-be necrotic tissue is not a good candidate for suturing.	2018-02-06 01:41:46Z	Nate
15222	15225	I should answer with my 25 cm leg laceration images	2018-02-06 01:43:09Z	Graham Chiu
15222	15225	Your #2 example made me wish I hadn't read your answer.	2018-02-06 05:14:42Z	Phylyp
15222	15225	Haha sorry-- she was actually OK if that's any consolation. Just not a good candidate for sutures.	2018-02-06 16:09:22Z	Nate
15216	15220	You can't "boost your metabolism".	2018-02-05 19:40:25Z	Graham Chiu
15216	15220	Welcome to Health.SE. We encourage reputable, written sources, and youtube is not considered one of them. Take a look at this collection of quality sources	2018-02-05 20:16:30Z	Narusan-in-coma
15216	15220	@Narusan-in-coma Thanks for the feedback. I have removed the previous sources and added other sources from the approved list of sources.	2018-02-05 20:19:55Z	Wadih M.
15216	15220	@WadihM. Just to clarify: that list is not a canonical list of "approved sources". they are most often an indicator of quality but then also not to be trusted blindly. Think of them as "strongly preferred". You have to evaluate everything yourself. It is merely a starting point for you to choose from, (and maybe even add to), if you compare them with what you come across. Sources vary in their quality and you might find poor info from sources on that list as well, although  that should be rare. Browse around on meta for more.	2018-02-05 21:11:11Z	LangLangC
15216	15220	Btw +1 for editing in adherence to site standards alone ;)	2018-02-05 21:21:46Z	LangLangC
15215	15221	I wonder if the original greek meaning of strabos applied to the non-parallel gaze.	2018-02-05 19:43:18Z	Graham Chiu
15210	10032	Shower water temperature varies from place to place. So does one's criterion of what is a "cold shower".  In addition, there is no evidence in the medical literature that so-called "cold showers" prevent the development of hypertension, either in those people who got that genetic inheritance or in those who are going to develop secondary hypertension.  The same goes for depressive disorder, brain function, etc.   I've read the site your answer mentions and it is all bullshit, probably written by a quack or someone who just wants to get public attention.	2016-11-10 22:55:39Z	Centaurus
15210	10032	I've edited the answer, hopefully it'll be okay	2016-11-11 09:43:48Z	Prince
15210	10032	If not, pls tell me	2016-11-11 09:44:26Z	Prince
15210	10032	Great answer, thanks!!	2016-11-11 18:50:58Z	
15203	15204	I like that the answer is concise and to the point. Perhaps, to keep in line with the site policies on references, something like this abstract can be added: ncbi.nlm.nih.gov/pubmed/12616989. It illustrates the example of diabetic patients that you gave.	2018-02-03 19:28:25Z	Lucky
15203	15204	I believe we are revisiting the need for references for things which are obvious	2018-02-03 21:44:16Z	Graham Chiu
15194	15195	I’m not sure which point of your answer the CJD quote supports: it says nothing about lethality or being an infection. Merely about contagion.	2018-02-02 18:33:52Z	Konrad Rudolph
15194	15195	It's the source of the quote	2018-02-02 19:00:43Z	Graham Chiu
15194	15195	I'm asking about the purpose of that quote.	2018-02-02 19:01:47Z	Konrad Rudolph
15194	15195	Oh, to support that it can be an infectious disease	2018-02-02 19:03:18Z	Graham Chiu
15194	15195	Classifying CJD as infectious is a bit controversial: less "living" than a virus and: "Sporadic spongiform encephalopathy occurs in … due to persistence and proliferation of an abnormal native protein. [Therfor] it is similar to neoplastic disease. Unlike traditional proliferative disorders that require cellular replication, the prion can transmit its abnormal conformation to a neighboring prion protein and thereby cause proliferation of the abnormality.	2018-02-02 19:50:51Z	LangLangC
15194	15196	None of these is 100% fatal with treatment	2018-02-02 19:13:22Z	Graham Chiu
15194	15196	There are antibiotics that can treat both of those, I believe	2018-02-02 19:26:43Z	
15194	15196	@Nate My reading of the OP was 100% (plus error margin) and of course, if untreated. Rabies & HAT are both difficult to treat and time is of the essence. Are you looking for perfect 100% and absolutely untreatable?	2018-02-02 19:35:55Z	LangLangC
15194	15196	I'd make plus error margin 101% :)	2018-02-02 20:14:17Z	Graham Chiu
15194	15196	Good add-on answer to Graham's answer. +1	2018-02-03 06:07:18Z	Carey Gregory
15184	15185	Your first tip is exactly how I've swallowed pills since I was a child. I've never seen anyone else do so and I always found that strange since it makes it much easier.	2018-02-01 22:35:02Z	Carey Gregory
15184	15185	Number 2 did it for me the first time. Swallowing is easy now. But these advil m's are so big hey seem to be bruising my esophagus.	2018-02-02 06:21:18Z	Jonathon
15184	15259	Welcome to HealthSE! This may be correct – or not. Nobody knows because this is lacking references. Please take the tour and read the help center. To improve your answer please edit it and backup your statements with reliable references. Having said the boilerplate: nice addition. If you find a reference for this (perhaps float/sink behaviour differences?) it will be upvoted.	2018-02-07 20:59:09Z	LangLangC
15184	15259	It is my experience that floating and sinking are not particularly strong forces in this case. Tilting your chin up stretches and constricts your throat and makes it harder to swallow anything, even spit. Try it yourself right now.	2018-02-07 21:43:33Z	
15177	15178	soluble aspirin is not generally available in North America; take a look at Alka Seltzer which is painkiller and antacid in drinkable form (after you add it to water.)	2018-02-01 15:11:05Z	Kate Gregory
15177	15178	peoplespharmacy.com/2011/01/31/soluble-aspirin-solves-problem	2018-02-01 16:37:35Z	Graham Chiu
15176	15186	Beautifully answered!  I agree it may have been a way they simplify telling patients not to worry about an option, which I have seen done plenty of times - I too disagree with that approach.  Also I'd give an extra +1 if I could for the final paragraph.	2018-02-03 00:02:43Z	DoctorWhom
15157	15349	It might profit this answer if some aspects of the volatile comments were included here. Touchy issues in general, maybe touchy issue in this "case".	2018-02-16 22:04:39Z	LangLangC
15157	15349	Hmm... there's a lot of good information in those comments. I'll need time to find references.	2018-02-17 22:57:16Z	Dave Liu
15157	15349	This answers my question. When I wish to die, or imagine killing myself, it's due to the lack of coping skills. When I feel frustrated or angry, it is my way of letting it out and then feeling pity for myself. I think that calms me down (maybe by taking mind away from the issue). The current edited version of my original question is not what I was asking at all. But I am glad your answer answered my original question (which may have been unclear the way I originally wrote it). Also, I can assure that I do not feel depression.	2018-02-21 06:21:44Z	
15157	15349	Narusan tried to reword the question to be more general, because we don't address personal-diagnosis type questions. That was probably why it was voted to be closed at first. Glad this was helpful though, hope things improve.	2018-02-21 21:04:26Z	Dave Liu
15154	15297	An odd omission; nothing about the theory of human co-evolution with intestinal helminths, and their ability to sculpt the human immune system.	2018-02-10 17:38:49Z	Graham Chiu
15151	15152	if the patient next day saw a regular color stool(brown color). What does that mean ?	2018-01-29 20:26:05Z	
15151	15152	It would make it less likely that there was a bleed causing the red stool, but it wouldn't rule it out. If the stool is always red after eating pomegranates, and always goes back to normal in a day, then that would be pretty good evidence that it was caused by the pomegranates, but the only way to be sure is to see a doctor.	2018-01-29 22:35:58Z	Nate
15145	15148	Where would one acquire such tests? Presumably not over the internet?....	2018-01-30 10:02:20Z	
15145	15148	A gastroenterologist can order tests for celiac disease and fructose malabsorption; an allergologist for food allergies and a primary doctor for blood iron levels and parasites in the stool. Symptoms "dramatically" decreasing on low-calorie diet are probably due to lower amount of soluble fiber ingested. So, one solution to try first can be to get (some) proteins from sources other than legumes. Test kits available on the internet may be unreliable.	2018-01-30 10:13:09Z	Jan
15145	15148	Thanks, great info. :)	2018-01-30 11:17:07Z	
15145	15148	The question is about stomach discomfort, and the answer is about small intestinal issues.	2018-01-31 18:27:15Z	Graham Chiu
15145	15148	When I answered, the original question was much longer and is now heavily edited (not by the OP).	2018-02-01 07:45:18Z	Jan
15141	15146	Clearly EMS will honor a valid DNR regardless of the patient's prior medical history, but that still leaves the question of whether a perfectly healthy person could obtain a DNR. Since it requires a physician's signature and I have a hard time seeing any physician signing off on such a DNR, I suspect the answer is no.	2018-01-29 18:07:24Z	Carey Gregory
15141	15146	Nope, tons of healthy people (including doctors) have DNRs. I've edited my response to reflect that.	2018-01-29 18:19:10Z	Nate
15141	15146	Interesting. Things have changed in the last 10 years. Go figure.	2018-01-30 05:25:45Z	Carey Gregory
15141	15146	Is there conditions and levels of DNRs?  Like the healthy doctors you mentioned. Does the DNR specify in which case it's applicable? If they were hit by a car and stopped breathing, would they not want to be revived?	2018-02-02 12:48:12Z	
15141	15146	The original, more "old school" DNR let you decide yes or no on both "Do Not Resuscitate" and "Do Not Intubate". The newer MOLST forms and other advance directives let you give much more specific information regarding what type of treatment you want, and whether you'd be OK doing it short term or long term. molst-ma.org/sites/molst-ma.org/files/…	2018-02-02 15:43:05Z	Nate
15141	15144	So what you're saying is that an otherwise healthy person cannot have a DNR. Yes? It has to be approved by a doctor?	2018-01-29 09:10:15Z	
15141	15144	Yes, needs doctor to sign the form to validate it.	2018-01-29 09:33:30Z	Graham Chiu
15141	15144	Actually I think this information is outdated (published 1999), see my answer below re: the MOLST form (published 2010).	2018-01-29 13:38:59Z	Nate
15141	15247	In the state I live in, DNR orders outside of a hospital or physician's office have strict rules. An EMT in my state cannot legally honor something like that tattoo. It would be legally meaningless.	2018-02-06 20:44:28Z	Carey Gregory
15130	15131	Do you have any references to any articles which back up your claims and maybe provide more depth?	2018-01-28 23:34:28Z	Chris
15130	15131	This is a really good answer, but as @Chris mentioned, supporting references are expected here. They don't have to be extensive, just sufficient to support your main points.	2018-01-29 05:20:53Z	Carey Gregory
15130	15131	Welcome @RudyB, awesome answer! We have a references standard even for docs - and I know it's kind of a pain to add a reference or two when you've spent like 12 grueling years post-high school training (let alone X years working) to obtain that knowledge base, it really helps maintain the quality of the site and gives non-medical-professionals additional reading material to further explore and understand better. And partially because we can't certify who has what level of training/education here.	2018-01-29 21:30:42Z	DoctorWhom
15130	15131	I would love to add references, but aside from a general EKG interpretation text (Dubin's has always been my favorite), the ACLS Student Manual and, for more depth, the consensus publications in Circulation the rest of my statements have been an overview of how we got here from where we were 30 years ago in resuscitation, information from manufacturer's manuals for defib/ pacer units that are not available online, and an unpublished case series that I cannot publicly release. Please provide some more specifics for which references as my one answer could probably have 30.	2018-02-05 02:23:49Z	RudyB
15173	15174	that's the average risk if you have no knowledge about a person's risk category. in the extreme case, if someone is in a room with an animal with rabies, they'll be at extremely elevated risk relative to baseline. if someone lives in a small room with a wild animal with rabies, they'll be at pretty elevated risk. if someone lives with an animal at high risk for rabies, they're probably at pretty elevated risk.	2018-01-27 23:24:08Z	lahwran
15123	15124	Great answer! Perhaps there could also be another factor: if you stop fever too early, you make a necessary antibiotic treatment more likely maybe? I would love to watch or read your presentation if you would be willing to share it.	2018-01-27 22:02:32Z	
15123	15124	I would just correct "treating a fever is a tradeoff between potentially feeling better faster" with "treating a fever is a tradeoff between potentially feeling better now" as antipyretics work relatively fast. As you have mentioned fever is not pleasant and it is about symptomatic treatment versus definitive treatment of the underlying infection.	2018-01-28 06:38:58Z	RudyB
15123	15124	I suggest replacing trademark "Thylenol" with generic names as "paracetamol" or "acetaminophen". It takes googling to understand your answer if one comes from country where Thylenol is not popular popular enough to become a synonym.	2018-01-28 14:56:20Z	Agent_L
15123	15124	@Agent_L Unfortunately I don’t think “acetaminophen” is widely known either, at least not in European countries where the name “paracetamol” is common. (And conversely, I doubt Americans generally know what paracetamol is.)	2018-01-29 10:06:04Z	Konrad Rudolph
15123	15124	@KonradRudolph just made a compromise that's not super elegant but should work	2018-01-29 13:09:27Z	Nate
15110	15111	Ok, good to know! Thanks. So for me personally, there are obviously things to clean up further in my diet to continue to lean up.	2018-01-25 14:55:00Z	
15103	15112	Thank you very much for your answer Nate! 1.) My bad, I cited quickly some studies, but I could have found better ones. 2.) Personally, I am not at all concerned about weight since I am slim with very low body fat - I am mostly concerned about ageing. I would do anything that is "healthy" (prolonging lifespan, better immune response, slower ageing, higher resistance to carcinogenesis) and in my power. Hence, I wanted to know if we already can infer something from the evidence we have. I already eat healthily, yet if the time pattern helps in such an amazing way, I'd change it too.	2018-01-25 23:41:48Z	
15103	15112	@Fipah Unfortunately studies on longevity  and ageing take a VERY long time (since you might not notice an effect for decades). The same goes for rates of cancer growth.   Trying to infer from incomplete evidence is very tempting, and people do it all the time. The majority of the time, though, all the tantalizing connections people come up with turn out to be incorrect.   A big part of diet and health more broadly is how you feel-- I'd say if an intermittent fasting diet makes you feel good, do it. You're not likely to find conclusive evidence on the topic for decades, if ever.	2018-01-26 22:38:43Z	Nate
15103	15112	Thanks for your comment @Nate! I was thinking maybe quicker studies on mice and rats might allow us to extrapolate because they have shown promising evidence, yet I understand - we are not mice nor rats and studies on humans will take long. // I feel good both ways (eating meals throughout the day or eating in an 8 hour window only) since I feel good and I am healthy in general - I'd just want to do what is "healthier" for me on the level I cannot directly feel, say if such and such way of eating reduces telomere shortening I think I would not be able to directly sense it.	2018-01-27 11:00:11Z	
15094	15095	It means twice daily, which means every 12 hours. Local policy might allow some leeway there, but that's what it means universally.	2018-01-24 20:51:34Z	Carey Gregory
15089	15100	Yeah i was at the doctor and i have staph aureus. He told my throat looks clear and he do not want to give me antibiotics so i should gargle salt water with some herbs (but i forgot wich one).(I have some smelling white dots in my tonsils that i am taking out) But gargling salt water do nothing. I used citricidal before like for 10 days and now after short pause 5days and it took only one or two days without citricidal and i have white tongue. I hope citricidal helps :)	2018-01-24 18:40:58Z	
15061	15065	Comments are not for extended discussion; this conversation has been moved to chat.	2018-01-24 14:20:02Z	JohnP
15061	15065	Are you sure about the point that "The only known side effects of influenza vaccines are temporary nasal congestion"? Google (and personal experience) suggests that common side effects include soreness, redness, swelling, headache, fever, nausea, and muscle aches.	2018-01-24 21:10:21Z	Shane
15061	15065	@Shane Good point. The paper's wording was "adverse events" (instead of side effects) caused by the vaccine so I guess they didn't include things that were not threatening to health. I can't tell you why they didn't include those kinds of side effects.	2018-01-25 14:12:50Z	StrConDexWisIntCha
15061	15065	Herd immunity is important for many diseases, but in the specific case of the flu vaccine's ineffectiveness, I don't think herd immunity is relevant. The reason the flu vaccine is relatively ineffective is that flu strains evolve very quickly, so there's a high probability that you'll contract a strain that the vaccine doesn't help against. Since everyone is receiving a vaccine that protects against the same strains, herd immunity doesn't help with that problem.	2018-01-26 05:36:13Z	ruakh
15061	15065	@ruakh If you read the link shared by the OP regarding the 40%-60% estimate you'll see the CDC says that's in seasons when it is well matched to the particular prevalent strains that season. In cases where the vaccine is well matched to the strains of flu that are spreading in that particular season, herd immunity is certainly relevant. In cases where it is not well matched, obviously it won't keep you or the "herd" from catching/spreading the flu. What you're saying is "sometimes the flu vaccine doesn't work, and when it doesn't work... it doesn't work".	2018-01-26 14:17:03Z	StrConDexWisIntCha
15061	15070	Comments are not for extended discussion; this conversation has been moved to chat.	2018-01-24 14:18:28Z	JohnP
15061	15070	"You are probably confusing the flu (influenza) with the common cold, which is colloquially often called 'the flu'" Another common confusion would be Gastroenteritis, which causes vomiting and is often called the stomach flu but is not caused by influenza.	2018-01-24 17:26:25Z	Ray
