id	blog_id	source_id	body	user_name	last_updated
12	90	2	you are a real hero, helping children in war region.		2015-03-05 00:00:00
13	93	2	to Guest: what pill?	Dr. med. Oksana Zhurbij	2014-11-06 00:00:00
14	93	2	I saw such a patient where the cause was a chronic infection off a big toe-nail!	Johan Schacht	2014-11-06 00:00:00
15	93	2	I saw such a patient where the cause was a chronic infection off a big toe-nail!	Johan Schacht	2014-11-06 00:00:00
16	93	2	Is she using the pill?		2014-11-05 00:00:00
17	147	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
18	152	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
19	214	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
20	219	2	It is really a very good point, John ! And furthermore, lets not forget the following statement; Physicians are NOT a commodity as they are seen through the eyes of the insurance companies. We have to teach the society that in the end, we as physicians together with the patient are responsible for the how healthcare is provided and consumed. Now the insurance companies dictates what, how and when a patient gets a certain kind of medical treatment. And an insurance company is in the end only responsible for MORE PROFIT instead of a better medical treatment....... it is a strange world we live in.......Lets go back to the old values and practise medicine as it once was taught to us!	Drs. Edward Pasman	2017-03-21 00:00:00
21	221	2	The GP of yesteryear had little more than kindness to dispense, but his patients felt and sometimes got better. The modern doctor hiding behind a computer screen may show great computer-generated stats, but doctor burnout is at an all time high. See any connection there? Ah yes, his patients are not happy campers either.	Frank Campbell	2017-02-07 00:00:00
22	224	2	So true. Challenging but infinitely rewarding. Go forth with the determination to do your best at all times!	Dr Udoka Onyeaso	2016-10-25 00:00:00
23	228	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
24	231	2	Thank you very much. I wish you all the best.		2015-03-05 00:00:00
25	231	2	you are a real hero, helping children in war region.		2015-03-05 00:00:00
26	234	2	to Guest: what pill?	Dr. med. Oksana Zhurbij	2014-11-06 00:00:00
27	234	2	I saw such a patient where the cause was a chronic infection off a big toe-nail!	Johan Schacht	2014-11-06 00:00:00
28	234	2	I saw such a patient where the cause was a chronic infection off a big toe-nail!	Johan Schacht	2014-11-06 00:00:00
29	234	2	Is she using the pill?		2014-11-05 00:00:00
30	239	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
31	247	2	"histoire bien mise en évidence sur les rapports entre la personne malade et les personnes qui s'en occupent .L'essentiel , ce n'est pas nécessairement la guérison du cancer mais l""accompagnement de cette personne . Elle est passée à une étape de résilience ."	infirmière AI Catherine Steenhout	2017-11-11 00:00:00
32	247	2	"Really a story so well observed and described!
Been a nurse on oncology-ward for some years myself and do very much appreciate the way you put all those emotions in such wonderful words."	Moritz Dieckmann	2017-09-19 00:00:00
33	255	2	A moving report on an interpersonal peak experience: great!	Dr. Luc Roelens	2017-10-10 00:00:00
34	256	2	Very moving. Speaks to many of us.		2017-10-04 00:00:00
35	266	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
36	280	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
37	294	2	Thank you for this insightful article. I am currently working in the US on an exchange from the UK. I have tried several primary care physicians and they all share the same symptoms of a severe lack of time and energy.  I thought that this was particularly egregious given the fact the cost of care is manifold higher than back home. Now I understand the reason (Obamacare expanded coverage for almost 20 million Americans seemingly overnight. Patient volumes doubled due to the unprecedented surge in insurance coverage) and although I have no solution, I can at least have a little more empathy for my less than empathetic PCP!		2017-12-05 00:00:00
38	317	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
39	320	2	Thank you very much. I wish you all the best.		2015-03-05 00:00:00
40	320	2	you are a real hero, helping children in war region.		2015-03-05 00:00:00
41	323	2	to Guest: what pill?	Dr. med. Oksana Zhurbij	2014-11-06 00:00:00
42	323	2	I saw such a patient where the cause was a chronic infection off a big toe-nail!	Johan Schacht	2014-11-06 00:00:00
43	323	2	I saw such a patient where the cause was a chronic infection off a big toe-nail!	Johan Schacht	2014-11-06 00:00:00
44	323	2	Is she using the pill?		2014-11-05 00:00:00
45	328	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
46	335	2	This is so (painfully) funny ... I am a pediatrician, and I get curbsided with questions about other subspecialties related to adults in kids meets !	Mr. Gaurav Gupta	2016-12-13 00:00:00
47	340	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
48	357	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
49	361	2	"Hi,  I have a question. I have epilepsy. When my insurance increased the deductible for my brand name medicine, I had to switch to generic. Teva generic worked in controlling my seizures. The pharmacy switched to a cheaper generic that didn't control them. I had driving privileges by my physician, but after switching generic brand I had a car wreck. The wreck injured my daughter. Can you please help proving the difference between generic and brand name epilepsy medicine. The FDA needs to understand.
Thank you sincerely, Roxanne"		2015-09-16 00:00:00
50	400	2	huu		
