id	source_id	topic_id	views	forum
278	1	27	1020	m2m
279	1	27	2071	m2m
280	1	27	1113	m2m
281	1	27	996	m2m
282	1	27	2102	m2m
283	1	27	2567	m2m
284	1	27	1064	m2m
285	1	27	3576	m2m
286	1	27	1563	m2m
287	1	27	1632	m2m
288	1	27	2052	m2m
289	1	27	3163	m2m
290	1	28	1069	m2m
291	1	28	974	m2m
292	1	28	530	m2m
293	1	28	2542	m2m
294	1	28	847	m2m
295	1	28	9837	m2m
296	1	28	894	m2m
297	1	28	915	m2m
298	1	28	1126	m2m
299	1	28	1532	m2m
300	1	28	1101	m2m
301	1	28	4334	m2m
302	1	28	1628	m2m
303	1	28	1305	m2m
304	1	28	1640	m2m
305	1	29	75780	m2m
306	1	29	278	m2m
307	1	29	206	m2m
308	1	29	308	m2m
309	1	29	591	m2m
310	1	29	139	m2m
311	1	29	140	m2m
312	1	29	341	m2m
313	1	29	3377	m2m
314	1	29	493	m2m
315	1	29	679	m2m
316	1	29	16494	m2m
317	1	29	786	m2m
318	1	29	2126	m2m
319	1	29	751	m2m
320	1	30	134	m2m
321	1	30	516	m2m
322	1	30	308	m2m
323	1	30	208	m2m
324	1	30	653	m2m
325	1	30	734	m2m
326	1	30	399	m2m
327	1	30	477	m2m
328	1	30	658	m2m
329	1	30	1015	m2m
330	1	30	718	m2m
331	1	30	548	m2m
332	1	30	840	m2m
333	1	30	624	m2m
334	1	30	1009	m2m
335	1	31	525754	m2m
336	1	31	983	m2m
337	1	31	5500	m2m
338	1	31	1281	m2m
339	1	31	2193	m2m
340	1	31	944	m2m
341	1	31	873	m2m
342	1	31	5397	m2m
343	1	31	1394	m2m
344	1	31	1371	m2m
345	1	31	1919	m2m
346	1	31	1782	m2m
347	1	31	2550	m2m
348	1	31	3378	m2m
349	1	31	3851	m2m
350	1	32	2829	m2m
351	1	32	2066	m2m
352	1	32	1415	m2m
353	1	32	2233	m2m
354	1	32	3627	m2m
355	1	32	6211	m2m
356	1	32	2877	m2m
357	1	32	4231	m2m
358	1	32	4960	m2m
359	1	32	3951	m2m
360	1	32	3141	m2m
361	1	32	4039	m2m
362	1	32	2530	m2m
363	1	32	6887	m2m
364	1	33	225	m2m
365	1	33	7432	m2m
366	1	33	1094	m2m
367	1	33	1058	m2m
368	1	33	1138	m2m
369	1	33	9341	m2m
370	1	33	1652	m2m
371	1	33	6836	m2m
372	1	33	9506	m2m
373	1	33	3446	m2m
374	1	33	2644	m2m
375	1	33	3420	m2m
376	1	33	3416	m2m
377	1	33	3571	m2m
378	1	33	2442	m2m
